Count of Acquisition Date,Column Labels,,,,
Row Labels,Female,Male,Not Defined,(blank),Grand Total
Inter-American Fund,9,145,8,,162
Mrs. Simon Guggenheim Fund,,16,,,16
Photography Purchase Fund,,2,,,2
Purchase,45,96,5,,146
Purchase and exchange,,1,,,1
Purchase Fund,9,1,,,10
Purchase Fund and gift of Mr. and Mrs. Wolfgang S. Schwabacher (by exchange),,1,,,1
Transferred from Department of Architecture,,,1,,1
(blank),,5,,,5
1943,17,404,694,,1115
Acquired through the Lillie P. Bliss Bequest,,13,,,13
Anonymous Gift,,4,,,4
Anonymous gift (by exchange),,2,,,2
Commissioned through the Inter-American Fund,,1,,,1
"Courtesy of the Laboratory of Anthropology, Santa Fe, New Mexico",,5,,,5
"Edgar Kaufmann, Jr. Fund",,6,,,6
Edward M. M. Warburg Fund,,2,,,2
"Gift of Alfred H. Barr, Jr.",,1,,,1
"Gift of Artek-Pascoe, Inc.",,1,,,1
"Gift of Bartlett H. Hayes, Jr.",,,2,,2
"Gift of Bloomingdale Bros., Inc.",1,,,,1
Gift of Briggs W. Buchanan,,1,,,1
Gift of Charles E. Merrill,,1,,,1
"Gift of Edgar Kaufmann, Jr.",1,,,,1
"Gift of Edgar Kaufmann, Jr.
",,1,,,1
"Gift of Fifth Avenue Cutlery Shop, Inc.",,,1,,1
Gift of Frank Crowninshield,,3,,,3
Gift of friends of the artist,,1,,,1
Gift of G. E. Kidder Smith,1,33,182,,216
Gift of James Thrall Soby,,5,,,5
"Gift of Lenart Imports, Ltd.",,,1,,1
Gift of Lewis & Conger,,1,2,,3
Gift of Lincoln Kirstein,,6,,,6
Gift of Margaret De Silver,,,1,,1
Gift of Miss Jessie Rosenfeld,1,4,12,,17
Gift of Mr. Hoger Cahill,,1,,,1
Gift of Mrs. Charles McKinley,,1,,,1
Gift of Mrs. J. Sterling Deans,,,1,,1
Gift of Mrs. John Carter,,68,69,,137
Gift of Mrs. M. E. Wormser,,3,2,,5
Gift of Mrs. Meredith Hare,,1,,,1
Gift of Mrs. Wallace M. Scudder,,1,,,1
Gift of Paul Magriel,,11,,,11
Gift of Peter Müller-Munk,,15,20,,35
Gift of Philip Johnson,,1,,,1
Gift of Pierre Loeb,,1,,,1
Gift of R.H. Macy & Co.,,1,,,1
Gift of the Farm Security Administration,1,,,,1
"Gift of the Finnish Commission, New York World's Fair, 1939-40",,2,,,2
Gift of the French National Railroads,,3,378,,381
Gift of the Honorable and Mrs. Robert Woods Bliss,,1,,,1
Gift of the manufacturer,1,2,1,,4
Gift of the photographer,1,81,,,82
Gift of U.S.S.R. Society for Cultural Relation with Foreign Countries,,2,1,,3
Gift of W. T. Reed,,4,10,,14
Gift of Walt Disney Productions,,,6,,6
Given anonymously,,60,3,,63
Given anonymously (by exchange),1,1,,,2
Inter-American Fund,,20,1,,21
James Thrall Soby Fund,,4,,,4
Lillie P. Bliss Collection,,1,,,1
Mrs. Simon Guggenheim Fund,,1,,,1
Print courtesy of Dr. Edgerton,,1,,,1
Purchase,9,21,1,,31
Purchase Fund,,2,,,2
Richard D. Brixey Bequest,,2,,,2
(blank),,1,,,1
1944,21,290,29,,340
Acquired through the Lillie P. Bliss Bequest,,7,,,7
Acquired through the Richard D. Brixey Bequest,,1,,,1
"Edgar Kaufmann, Jr. Fund",,,1,,1
Frank Crowninshield Fund,,2,,,2
Gift of Abby Aldrich Rockefeller,1,,,,1
Gift of Abraham Walkowitz,,2,,,2
Gift of Actinograph Corp. Preserved with funding from The Lillian Gish Trust for Film Preservation,,1,,,1
Gift of Albert Boni,8,24,4,,36
"Gift of Artek-Pascoe, Inc.",,1,,,1
Gift of Dorothea Lange,,1,,,1
Gift of E. McKnight Kauffer,,7,,,7
Gift of Edward Weston,1,,,,1
Gift of Ernst Halberstadt,,2,,,2
"Gift of Friends of Greece, Inc.",,1,,,1
Gift of Henry Church,,7,,,7
Gift of John S. Newberry,,1,,,1
Gift of Karl Nierendorf,,1,,,1
Gift of Lincoln Kirstein,1,,,,1
Gift of Miss Edith Wetmore,,1,,,1
Gift of Mr. & Mrs. Paul H. Oppmann,,1,,,1
Gift of Mrs. Jane K. Murray,,29,,,29
"Gift of Special Service Division, Fort Huachuca, Arizona",,,8,,8
Gift of the artist,,48,,,48
Gift of the Civil Aeronautics Administration,,1,,,1
Gift of the Coordinator of Inter-American Affairs,,2,,,2
Gift of the Department of Agriculture,,1,,,1
Gift of the designer,,1,,,1
Gift of the Farm Security Administration,1,2,,,3
Gift of the manufacturer,,8,6,,14
"Gift of the National Savings Committee, London",,,1,,1
Gift of the Netherlands Information Bureau,,,1,,1
Gift of the Office of War Information,1,2,,,3
Gift of the photographer,,25,,,25
Gift of the U. S. Treasury Department,,1,,,1
Gift of the U.S. Housing Authority,,1,,,1
Gift of the U.S. Office of Emergency Management,,1,,,1
Gift of the War Department,,4,,,4
Gift of the War Production Board,,1,,,1
Given anonymously,,7,,,7
Given anonymously (by exchange),,1,,,1
Inter-American Fund,2,56,5,,63
James Thrall Soby Fund,1,3,,,4
Photography Purchase Fund,,2,,,2
Purchase,5,28,3,,36
"Purchase
",,3,,,3
Purchase and exchange,,1,,,1
Purchase Fund,,2,,,2
1945,6,261,17,,284
Abby Aldrich Rockefeller Fund,,6,,,6
Abby Aldrich Rockefeller Fund and exchange,,1,,,1
Acquired through the Lillie P. Bliss Bequest,,76,,,76
Acquired through the Richard D. Brixey Bequest,1,,,,1
Advisory Committee Fund,,1,,,1
"Edgar Kaufmann, Jr. Fund",,1,,,1
Frank Crowninshield Fund,,2,,,2
Gift of Abby Aldrich Rockefeller,,1,,,1
Gift of Madame Galka E. Scheyer,,,1,,1
Gift of Mr. and Mrs. Sam A. Lewisohn,,1,,,1
Gift of Mr. Reiss,,,1,,1
Gift of Mrs. Harry Townsend,,,1,,1
Gift of Mrs. Lawrence Mead,,8,3,,11
Gift of Mrs. W. Murray Crane,,1,,,1
Gift of Philip L. Goodwin,,1,,,1
"Gift of R. Kirk Askew, Jr.",,22,,,22
Gift of the artist,,30,,,30
"Gift of the General Post Office, England",3,13,6,,22
Gift of the London Passenger Transport Board,,11,,,11
"Gift of the Ministry of Information, London",,2,3,,5
"Gift of the Royal Society for the Prevention of Accidents, England",,17,2,,19
Given anonymously,,1,,,1
Inter-American Fund,,3,,,3
James Thrall Soby Fund,1,,,,1
Mrs. Simon Guggenheim Fund,,2,,,2
Philip Johnson Fund,,1,,,1
Purchase,,34,,,34
Purchase (by exchange),,1,,,1
Purchase Fund,1,25,,,26
1946,6,145,15,,166
A. Conger Goodyear Fund,,1,,,1
Abby Aldrich Rockefeller Fund,,1,,,1
Acquired through the Lillie P. Bliss Bequest,,3,,,3
Advisory Committee Fund,,1,,,1
Gift of Abby Aldrich Rockefeller,,61,,,61
"Gift of Artek-Pascoe, Inc.",,4,,,4
Gift of Briggs W. Buchanan,,2,,,2
Gift of Celanese Celluloid Corporation,,,2,,2
Gift of Dr. and Mrs. Henry Ritter,,2,,,2
"Gift of Edgar Kaufmann, Jr.",,1,3,,4
Gift of Eliot Noyes,,1,,,1
Gift of Eva Zeisel,,,1,,1
"Gift of G. M. Thurnauer Co., Inc.",,,1,,1
Gift of Jean Delmas,,15,,,15
Gift of Merle Armitage,,3,,,3
Gift of Mme. Paul Klee,,1,,,1
Gift of Monroe Wheeler,,,1,,1
Gift of Mr. and Mrs. Roy R. Neuberger,,1,,,1
Gift of Mrs. Susanne Wasson-Tucker,,1,,,1
Gift of Pennsylvania Drug Co.,,,1,,1
Gift of the artist,,1,,,1
Gift of the manufacturer,,5,,,5
Gift of The Photo League,,1,,,1
Gift of the photographer,,14,,,14
Inter-American Fund,,1,,,1
Mrs. Simon Guggenheim Fund,,1,,,1
Philip Johnson Fund,,1,,,1
Purchase,5,13,6,,24
Purchase Fund,,9,,,9
Purchase Fund and gift of Nathaniel S. Wollf (by exchange),,1,,,1
"Purchase, by exchange",1,,,,1
1947,75,312,40,,427
A. Conger Goodyear Fund,,6,,,6
A. Conger Goodyear Fund (by exchange),,1,,,1
Abby Aldrich Rockefeller Fund,10,8,,,18
Acquired from the Cinémathèque Française and Twentieth Century-Fox,,1,,,1
Acquired through the Lillie P. Bliss Bequest,1,17,,,18
Acquired through the Museum's membership in the Print and Drawing Club of the Art Institute of Chicago,,1,,,1
Advisory Committee Fund,,1,,,1
"Bequest of Anna Erickson Levene in memory of her husband, Dr. Phoebus Aaron Theodor Levene",,3,,,3
"Edgar Kaufmann, Jr. Fund",,1,,,1
Gift of Abby Aldrich Rockefeller,,8,,,8
Gift of Abercrombie & Fitch,,1,1,,2
Gift of Abercrombie & Fitch Co.,,,1,,1
"Gift of August Hanniball, Jr.",,1,,,1
Gift of Bernard Davis,,4,1,,5
Gift of Curt Valentin,,8,,,8
"Gift of Edgar Kaufmann, Jr.",,,1,,1
Gift of Edward W. Root,,1,,,1
Gift of James Thrall Soby,,1,,,1
Gift of John Rewald,,1,,,1
Gift of Lewis & Conger,,,2,,2
Gift of Lincoln Kirstein,,25,,,25
Gift of Manuel Gonzalez Flores,,1,,,1
Gift of Miss Ettie Stettheimer,55,,,,55
"Gift of Mme Ève Daniel and Mme Sibylle Cournand, in memory of their mother, Mme Jeanne Bucher",,1,,,1
Gift of Mr. and Mrs. Jan de Graaff,,1,,,1
Gift of Mrs. Elie Nadelman,,2,,,2
Gift of Mrs. Stanley Resor,,1,,,1
Gift of Nelson Rockefeller,,1,,,1
Gift of Philip Johnson,1,1,,,2
Gift of René d'Harnoncourt,,1,,,1
Gift of Robert Edmond Jones,,1,,,1
Gift of Romeo Toninelli,,,1,,1
Gift of S. S. Spivack,,5,,,5
Gift of Sweden House,,,3,,3
Gift of the Advisory Committee,,1,,,1
Gift of the architect,,2,,,2
Gift of the artist,,41,,,41
Gift of the CIO Political Action Committee,,1,,,1
Gift of the designer,,6,,,6
Gift of the Griffis Foundation,,1,,,1
