Count of Acquisition Date,Column Labels,,,,
Row Labels,Female,Male,Not Defined,(blank),Grand Total
Purchased with funds provided by the Rendl Endowment for Slavic Art and Committee on Drawings Funds,,1,,,1
Riva Castleman Endowment Fund,1,30,,,31
"Robert Lehman Endowment Fund for Acquisitions by the Department of Drawings, The Museum of Modern Art, New York and Committee on Drawings Funds",,5,,,5
"Samuel J. Wagstaff, Jr. Fund",,1,,,1
Scott Burton Fund,1,,,,1
Sue and Edgar Wachenheim III Endowment Fund,,1,,,1
Sue and Edgar Wachenheim III Endowment Fund and acquired through the generosity of Peter H. Friedland,,1,,,1
The Contemporary Arts Council of The Museum of Modern Art and Committee on Media and Performance Art Funds,,2,,,2
The Family of Man Fund,,1,,,1
"The Family of Man Fund
",,1,,,1
"The Family of Man Fund, Carol and David Appel Family Fund, and Committee on Photography Fund",,31,,,31
"The Frank Lloyd Wright Foundation Archives (The Museum of Modern Art | Avery Architectural & Fine Arts Library, Columbia University, New York)",,60,,,60
The Michael H. Dunn Memorial Fund,,1,,,1
The Modern Women's Fund,10,,,,10
"The Museum of Modern Art, New York. Gift of the artist",,1,,,1
The Photography Council Fund,1,,,,1
The Riklis Collection of McCrory Corporation (by exchange),,1,,,1
The Sue and Edgar Wachenheim III Endowment,,1,,,1
Transferred from the Museum Library,1,,,,1
"Vital Projects Fund, Robert B. Menschel",,24,,,24
(blank),,2,,,2
2013,383,1817,173,,2373
Acquired through the generosity of an anonymous donor,1,4,,,5
Acquired through the generosity of Anne Ehrenkranz in honor of Gayle Greenhill,3,,,,3
Acquired through the generosity of Barbara Foshay in honor of Barbara London,,2,,,2
Acquired through the generosity of David Dechman and Michel Mercure in honor of Joel Wachs,,1,,,1
Acquired through the generosity of Helen Kornblum in honor of Roxana Marcoci and The Photography Council Fund,,1,,,1
Acquired through the generosity of Jerry I. Speyer and the Contemporary Arts Council of The Museum of Modern Art,1,,,,1
Acquired through the generosity of Jill and Peter Kraus,,1,,,1
"Acquired through the generosity of Jill and Peter Kraus, Jerry I. Speyer and Katherine G. Farley, and The Friends of Education of The Museum of Modern Art",,6,,,6
"Acquired through the generosity of Kathy Fuld, Marlene Hess and Jim Zirin, Marie-Josée and Henry Kravis, Donald B. Marron, Katherine Farley and Jerry Speyer, Ralph Goldenberg, Jan Christiaan Braun and Patricia Phelps de Cisneros in honor of Connie Butler",1,,,,1
Acquired through the generosity of Marian and James H. Cohen in memory of their son Michael Harrison Cohen,1,,,,1
Acquired through the generosity of Marie-Josée Kravis,1,1,,,2
Acquired through the generosity of Mary M. and Sash A. Spencer,,32,,,32
Acquired through the generosity of Philip E. Aarons and Shelley Fox Aarons,,1,,,1
Acquired through the generosity of Robert B. Menschel,,11,,,11
Acquired through the generosity of Roger Strong in honor of Robert B. Menschel,,2,,,2
Acquired through the generosity of Roxann Taylor,2,,,,2
Acquired through the generosity of The Contemporary Arts Council of The Museum of Modern Art,,3,,,3
Acquired through the generosity of The Contemporary Arts Council of The Museum of Modern Art in honor of Franny Heller Zorn,,1,,,1
Acquired through the generosity of the Fuhrman Family Foundation,,33,,,33
Acquired through the generosity of the Latin American and Caribbean Fund and Baryn Futa in honor of Barbara London,,1,,,1
Acquired through the generosity of The Print Associates Fund,1,,,,1
"Acquired through the generosity of The Print Associates Fund
",,18,,,18
Acquired through the generosity of the William Talbott Hillman Foundation,2,,,,2
"Acquired through the generosity of Thelma and AC Hudgins, Donald B. Marron, and Susan G. Jacoby in honor of her mother Marjorie L. Goldberger",,1,,,1
Acquired through the generosity of Thomas and Susan Dunn,,3,,,3
"Acquired through the generosity of Thomas and Susan Dunn, and Amie Rath Nuttall",,1,,,1
Acquired through the generosity of Timothy Peterson and Richard Gerrig,5,10,20,,35
"Analogue was made possible through the Artist's Residency program at the Wexner Center for the Arts at The Ohio State University. 

Acquired through the generosity of the Contemporary Arts Council of The Museum of Modern Art, the Fund for the Twenty-First Century, the Modern Women's Fund, and Carol Appel",1,,,,1
"Analogue was made possible through the Artist's Residency program at the Wexner Center for the Arts at The Ohio State University. 
Acquired through the generosity of the Contemporary Arts Council of The Museum of Modern Art, the Fund for the Twenty-First Century, The Modern Women's Fund, and Carol Appel",24,,,,24
"Analogue was made possible through the Artist's Residency program at the Wexner Center for the Arts at The Ohio State University. Acquired through the generosity of the Contemporary Arts Council of The Museum of Modern Art, the Fund for the Twenty-First Century, The Modern Women's Fund, and Carol Appel",1,,,,1
Art & Project/Depot VBVR Gift,,1,,,1
"Art & Project/Depot VBVR Gift
",,1,,,1
Arthur M. Bullowa Fund,,1,,,1
Bequest of Ilse Bing Wolff,95,,,,95
Century of the Child Exhibition Fund,,1,,,1
Chief Curator Discretionary Fund,,1,,,1
Committee on Drawings Funds,1,1,,,2
Committee on Film Funds,,1,,,1
Committee on Painting and Sculpture Funds,,4,,,4
Committee on Painting and Sculpture Funds and gift of Dakis Joannou,,1,,,1
Committee on Photography Fund,,12,,,12
Committee on Prints and Illustrated Books Fund,38,107,101,,246
"Committee on Prints and Illustrated Books Fund
",,3,,,3
Deborah Wye Endowment Fund,,17,,,17
"Deborah Wye Endowment Fund
",,1,,,1
Deborah Wye Endowment Fund and The Print Associates Fund,,1,,,1
Enid A. Haupt Fund,1,,,,1
Estate of Susan Wilmarth,,13,,,13
Fund for the Twenty-First Century,7,542,7,,556
General Print Fund,2,3,,,5
"General Print Fund
",,20,,,20
"Gift of Abby Aldrich Rockefeller (by exchange), Vincent d'Aquila and Harry Soviak Bequest Fund (by exchange), and acquired through the generosity of The Abby Aldrich Rockefeller Endowment for Prints, Carol O. Selle (by exchange), Sue and Edgar Wachenheim III, Mary M. Spencer, and Stephen F. Dull",,1,,,1
Gift of Adam Kimmel,,2,,,2
Gift of Agnes Gund,2,9,,,11
Gift of Agnes Gund in honor of Joel Grey,1,,,,1
"Gift of Agnes Gund, Isca Greenfield-Sanders and Timothy Greenfield-Sanders",,15,,,15
Gift of Alexandre Martins Fontes through the Latin American and Caribbean Fund,,1,,,1
Gift of an anonymous donor,,2,,,2
Gift of Andre Singer,,1,,,1
Gift of Anne and Arthur Goldstein,1,,,,1
Gift of Anne and Joel Ehrenkranz,,1,,,1
Gift of Artur Walther,1,,,,1
"Gift of Atari Interactive, Inc.",,3,,,3
"Gift of Auldlyn Higgins Williams and E.T.Williams, Jr in memory of Mamie Phipps Clark, and in honor of Clifton R. Wharton, Jr., Delores D. Wharton, and Isabel Carter Stewart, former African American trustees of The Museum of Modern Art",,1,,,1
Gift of Barbara Jakobson,1,,,,1
Gift of Beth Swofford,,1,,,1
Gift of Brigitte and Arend Oetker,1,,,,1
Gift of Carlos Ayesta Chávez,,2,,,2
Gift of Carol and Arthur Goldberg,,1,,,1
Gift of Charles Silver,,1,,,1
Gift of Charly Herscovici,,1,,,1
Gift of Christine Burgin,,18,,,18
"Gift of Christine Burgin
",,6,,,6
Gift of Clarissa Alcock Bronfman,,1,,,1
Gift of Dakis Joannou,,1,,,1
Gift of Dean Valentine and Amy Adelson,1,,,,1
Gift of Don Goeman,,1,,,1
Gift of Donald B. Marron,,4,,,4
"Gift of Donald Young Gallery
",,4,5,,9
Gift of Douglas Lloyd,,1,,,1
Gift of Douglas S. Cramer,1,,,,1
Gift of Douglas S. Cramer (by exchange),,1,,,1
Gift of Dr. and Mrs. William Tsiaras,,7,,,7
"Gift of Dr. Kuo Yu-Shou (by exchange), Jill Kraus and Committee on Drawings Fund in honor of Connie Butler",,1,,,1
Gift of Dr. Meyer A. Pearlman and  Mr. and Mrs. Walter Bareiss (both by exchange),,1,,,1
Gift of Edgar Smith,,5,,,5
"Gift of Elaine Lustig Cohen
",,1,,,1
Gift of Fernando Molina Bello,1,,,,1
Gift of FiGa Films,,1,,,1
Gift of G. David Thompson and Countess Felicia Gizycka (both by exchange),1,,,,1
"Gift of George R. Kravis II, in honor of Juliet Kinchin",,1,,,1
"Gift of George R. Kravis II, in honor of Wendy Evans Joseph",,1,,,1
Gift of Global Film Initiative,13,50,,,63
Gift of Google Inc.,,1,,,1
Gift of Gwen and Peter Norton,,1,,,1
Gift of Heather and Tony Podesta,12,14,,,26
Gift of Heidi and Richard Rieger,9,30,,,39
Gift of Herbert Weller,,49,,,49
Gift of Hobby Films,,1,,,1
Gift of Hubert Winter,3,,,,3
Gift of IFC Films,4,23,,,27
Gift of Igor M. DaCosta,,2,,,2
Gift of James and Kathy Goodman in memory of Kirk Varnedoe (by exchange),,1,,,1
Gift of James Keith Brown and Eric Diefenbach,,1,,,1
Gift of Jan Christiaan Braun in honor of Donald B. Marron,,1,,,1
Gift of Jan Staller,,,1,,1
Gift of Jean-Louis Bourgeois and Alain Bourgeois,14,,,,14
"Gift of Jean-Yves Noblet
",,1,,,1
Gift of Jill and Peter Kraus,,1,,,1
Gift of Jo Carole and Ronald S. Lauder,2,,,,2
Gift of Jo Carole Lauder,,2,,,2
Gift of Joao Tovar,,,1,,1
Gift of Joel and Anne Ehrenkranz in honor of Jerry Speyer and Katherine Farley,,2,,,2
Gift of Joel and Anne Ehrenkranz in honor of Katherine Farley and Jerry Speyer,1,1,,,2
Gift of John and Thomas Solomon in honor of Holly Solomon,,1,,,1
"Gift of Joseph H. Heil, by exchange",,1,,,1
Gift of Justin Szlasa,,1,,,1
Gift of Kino Lorber,,1,,,1
"Gift of Luiz Paulo Montenegro and Analivia Cordeiro, São Paulo
",,1,,,1
Gift of Lynn Hershman Leeson,,3,,,3
"Gift of Lynn Hershman Leeson
",,2,,,2
Gift of Maira Kalman,,,6,,6
Gift of Maria Allwin,,4,,,4
Gift of Marie-Josée and Henry R. Kravis,1,1,,,2
Gift of Marlene Hess and James D. Zirin,,1,,,1
Gift of Martin and Rebecca Eisenberg,,6,,,6
Gift of Martin and Rebecca Eisenberg in honor of Connie Butler,,2,,,2
"Gift of Martin Helcl, Prague",3,,,,3
Gift of Martina Yamin,,1,,,1
Gift of Michael Maharam,,,1,,1
Gift of Mojang,,1,,,1
Gift of Morris Orden in honor of Connie Butler,1,,,,1
Gift of Mr. and Mrs. Richard Rodgers and A. Conger Goodyear (both by exchange),,1,,,1
Gift of Mr. and Mrs. Walter Hochschild and The Gilman Foundation Fund (both by exchange),,1,,,1
"Gift of Nike, Inc.",,,1,,1
Gift of Outset Contemporary Art Fund,1,,,,1
Gift of Pace Gallery,,2,,,2
Gift of Paula Cooper,,10,,,10
Gift of Peter J. Cohen,,,25,,25
Gift of Peter Norton,,1,,,1
Gift of Robert B. and Mercedes H. Eichholz,1,,,,1
Gift of Robert Rauschenberg Foundation and Marie-Josée and Henry R. Kravis,,1,,,1
"Gift of Robert Rauschenberg Foundation, and Committee on Painting and Sculpture Funds",,1,,,1
"Gift of Robert Rauschenberg Foundation; and gift of Virginia C. Field, Mr. and Mrs. Walter Nelson Pharr, anonymous, and Ruth Vollmer (all by exchange)",,1,,,1
Gift of Ronald O. Perelman,,1,,,1
Gift of Ruggero Tropeano,,1,,,1
Gift of Steven and Alexandra Cohen,,1,,,1
Gift of Strand Releasing,3,8,,,11
"Gift of Strand Releasing, 2013. Purchase from Anna Sanders Films, 2014",,1,,,1
Gift of Susan and Peter MacGill,,5,,,5
Gift of Suzanne Slesin,,1,,,1
Gift of Tatsumi Sato,,17,,,17
Gift of The Aaron and Betty Lee Stern Foundation,,1,,,1
Gift of the architect,,58,,,58
Gift of the artist,31,189,,,220
"Gift of the artist
",,7,,,7
"Gift of the artist and Fund for the Twenty-First Century
",1,,,,1
"Gift of the artist and Luhring Augustine, New York",,1,,,1
Gift of the artist and the Fuhrman Family Foundation,2,,,,2
Gift of the artist and The Riklis Collection of McCrory Corporation (both by exchange),,1,,,1
Gift of the artist in honor of Barbara London,,1,,,1
"Gift of the artist, Ivan Gallery Bucharest, and Galerie Barbara Weiss, Berlin",1,,,,1
Gift of the artist's estate,1,,,,1
Gift of the Artists,2,,,,2
Gift of the Contemporary Arts Council of the Museum of Modern Art,,15,,,15
Gift of the designer,,2,,,2
Gift of the Fuhrman Family Foundation through The Modern Women's Fund,1,,,,1
Gift of the Hudgins Family in memory of Brienin Bryant,1,,,,1
Gift of the Hudgins Family in memory of J. I. Nelson and Sarita Nelson-Nunnelee,,1,,,1
"Gift of the Hudgins Family in memory of Lawrence D. ""Butch"" Morris",,1,,,1
Gift of the Hudgins Family in memory of Marie Rhone,,1,,,1
Gift of the Hudgins Family in memory of Martina Hudgins,,1,,,1
"Gift of The Jill and Peter Kraus Endowed Fund for Contemporary Acquisitions, Michael Ovitz, Marlene Hess and James D. Zirin, Marie-Josée and Henry Kravis, and the Speyer Family Foundation",6,,,,6
Gift of The LeWitt Family in honor of Jill Kraus,,1,,,1
Gift of the Library Council of The Museum of Modern Art,17,,,,17
Gift of the manufacturer,,8,,,8
Gift of the Mike Kelley Foundation for the Arts,,1,,,1
Gift of the Peter Norton Family Foundation,,1,,,1
"Gift of the Raymond K. Yoshida Living Trust and Kohler Foundation, Inc.",,3,,,3
Gift of the Rennie Collection in honor of Stuart Comer,,,1,,1
Gift of the Sender Collection,,1,,,1
Gift of the Taito Corporation,,1,,,1
Gift of Twentieth Century-Fox,,3,,,3
Gift of Universal Limited Art Editions to celebrate the life of Sash A. Spencer,,1,,,1
Gift of Warner Bros.,,8,,,8
Gift of Yvonne Dadoo de Lewis,1,,,,1
Given anonymously,,2,,,2
Gordon and Lillian Hardy Fund,,1,,,1
John B. Turner Fund,,8,,,8
John Szarkowski Fund and Geraldine J. Murphy Fund,,1,,,1
"Jointly owned by The Museum of Modern Art, New York and the San Francisco Museum of Modern Art, acquired through the generosity of Mimi Haas and Helen Schwab",,1,,,1
Latin American and Caribbean Fund,4,4,,,8
Latin American and Caribbean Fund through gift of Agnes Gund,,1,,,1
Latin American and Caribbean Fund through gift of Luis Alfonso Oberto,,2,,,2
Latin American and Caribbean Fund through gift of María Luisa Ferré Rangel,,1,,,1
Latin American and Caribbean Fund through gift of Patricia Phelps de Cisneros,,1,,,1
Lillie P. Bliss Collection,,1,,,1
Monroe Wheeler Fund,,7,,,7
"Partial gift of Peter M. Brant, courtesy the Brant Foundation, Inc. and gift of The Sidney and Harriet Janis Collection (by exchange), Mary Sisler Bequest (by exchange), Mr. and Mrs. Eli Wallach (by exchange), The Jill and Peter Kraus Endowed Fund for Contemporary Acquisitions, Anne and Joel Ehrenkranz, Mimi Haas, Ninah and Michael Lynne, and Maja Oeri and Hans Bodenmann",,1,,,1
"Partial gift of the artist, Christine Burgin and the Donald Young Estate, The Mary Joy Thompson Legacy Fund for Canadian Art, and the Riva Castleman Endowment Fund
",,1,,,1
"Partial gift of the Daled Collection and partial purchase through the generosity of Maja Oeri and Hans Bodenmann, Sue and Edgar Wachenheim III, Agnes Gund, Marlene Hess and James D. Zirin, Marie-Josée and Henry R. Kravis, and Jerry I. Speyer and Katherine G. Farley",,1,,,1
Photography Purchase Fund,,,1,,1
Promised gift of Susan and Peter MacGill,,6,,,6
Purchase,1,50,,,51
"Purchase at lab cost
",,1,,,1
"Purchase at preservation cost
",,1,,,1
Purchase from Fabiano Canosa,1,23,,,24
Purchase from Luce Cinecitta,,4,,,4
"Purchase from private collector
",,9,,,9
Purchase from the Artist,5,44,,,49
"Purchase from the Artist. Funded by The Contemporary Arts Council of The Museum of Modern Art
",,1,,,1
Purchase from the Artist. Funds provided by the Latin American and Caribbean Fund,7,,,,7
Purchase from The Cinema Guild,3,15,2,,20
Purchase from the Rainer Werner Fassbinder Foundation,,1,,,1
Purchase from Video Data Bank,1,,,,1
Purchase from Zeitgeist Films,,1,,,1
Purchased with funds provided by Agnes Gund,,1,,,1
Purchased with funds provided by Sarah-Ann and Werner H. Kramarsky,,2,,,2
Purchased with funds provided by the Contemporary Arts Council of The Museum of Modern Art and by Susan G. Jacoby in honor of her mother Marjorie L. Goldberger,1,,,,1
Purchased with funds provided by the Edward John Noble Foundation and the Frances Keech Fund,,1,,,1
Purchased with funds provided by the Friends of Contemporary Drawings,,9,,,9
Purchased with funds provided by the Latin American and Caribbean Fund and Donald B. Marron,,1,,,1
Purchased with funds provided by the Rendl Endowment for Slavic Art,,2,,,2
Purchased with funds provided by the Vincent D'Acquila Drawings Fund,,1,,,1
"Richard S. Zeisler Bequest (by exchange), The Friends of Education of The Museum of Modern Art, Committee on Drawings Fund, Dian Woodner, and Agnes Gund",,1,,,1
Riva Castleman Endowment Fund,,18,,,18
"Riva Castleman Endowment Fund
",,4,,,4
"Robert Lehman Endowment Fund for Acquisitions by the Department of Drawings, The Museum of Modern Art, New York and funds provided by James Keith Brown and Eric Diefenbach",,1,,,1
Sue and Edgar Wachenheim III Endowment Fund,,17,,,17
The Contemporary Arts Council of The Museum of Modern Art,1,,,,1
The Contemporary Arts Council of The Museum of Modern Art and Committee on Photography Fund,1,,,,1
The Family of Man Fund,,4,,,4
"The Mary Joy Thompson Legacy Fund for Canadian Art and Committee on Prints and Illustrated Books Fund
",,15,,,15
The Modern Women's Fund,16,,,,16
The Modern Women's Fund and Committee on Painting and Sculpture Funds,1,,,,1
The Photography Council Fund,7,,,,7
The Photography Council Fund and Committee on Photography Fund,,1,,,1
The Print Associates Fund,,2,,,2
The Sidney and Harriet Janis Collection (by exchange),,1,,,1
The Sue and Edgar Wachenheim III Endowment,,1,,,1
"Thomas Walther Collection. Abbott-Levy Collection funds, by exchange",1,1,,,2
"Thomas Walther Collection. Bequest of Clarence John Laughlin, by exchange",,1,,,1
Thomas Walther Collection. Gift of Thomas Walther,,,1,,1
"Vincent d'Aquila and Harry Soviak Bequest, by exchange, Committee on Prints and Illustrated Books Fund, Orentreich Family Foundation, Sue and Edgar Wachenheim III Endowment, Mrs. Sash A. Spencer, Sue and Edgar Wachenheim III, Peter H. Friedland, Maud I. Welles, Deborah Wye Endowment Fund, Riva Castlemen Endowment Fund, Lily Auchincloss Fund, Monroe Wheeler Fund, and John M. Shapiro",,15,,,15
"Vital Projects Fund, Robert B. Menschel",2,1,,,3
2014,269,1770,68,,2107
Abby Aldrich Rockefeller Fund for Prints,,1,,,1
Acquired from The Eileen and Michael Cohen Collection through the Committee on Drawings and Prints Fund,,3,,,3
Acquired from The Eileen and Michael Cohen Collection through the Deborah Wye Endowment Fund,1,6,,,7
Acquired from The Eileen and Michael Cohen Collection through the The Sue and Edgar Wachenheim III Endowment,,142,,,142
Acquired through the generosity of Agnes Gund,1,,,,1
"Acquired through the generosity of Agnes Gund, Sarah Peter, The Modern Women's Fund, and gift of Mr. and Mrs. Klaus G. Perls (by exchange), gift of Alexander Calder (by exchange), and gift of Abby Aldrich Rockefeller (by exchange)",1,,,,1
Acquired through the generosity of Anne Ehrenkranz in honor of Gayle Greenhill,2,,,,2
Acquired through the generosity of Charles Heilbronn,,7,,,7
Acquired through the generosity of Clarissa A. Bronfman and  Amie R. Nuttall,1,,,,1
Acquired through the generosity of David Dechman and Michel Mercure,,2,,,2
Acquired through the generosity of Helen Kornblum in honor of Roxana Marcoci,1,,,,1
Acquired through the generosity of Helen Kornblum in honor of Roxana Marcoci and Committee on Photography Fund,1,,,,1
Acquired through the generosity of James Keith Brown and Eric Diefenbach,1,,,,1
Acquired through the generosity of Jill and Peter Kraus,,,1,,1
Acquired through the generosity of Jon L. Stryker,,5,,,5
"Acquired through the generosity of Maja Oeri in honor of Glenn Lowry		
",,3,,,3
Acquired through the generosity of Marie-Josée and Henry R. Kravis,1,,,,1
Acquired through the generosity of Mark Levine,,6,,,6
"Acquired through the generosity of Marlene Hess and James D. Zirin, Donald B. Marron, Mary M. and Sash A. Spencer, Alice and Tom Tisch, Sue and Edgar Wachenheim III, and James Keith Brown and Eric Diefenbach",,6,,,6
Acquired through the generosity of Mary M. and Sash A. Spencer,5,17,,,22
Acquired Through the generosity of Neda Young,,3,,,3
Acquired through the generosity of Richard E. Salomon,,2,,,2
Acquired through the generosity of Robert B. Menschel,,1,,,1
"Acquired through the generosity of Robert B. Menschel, Jo Carole Lauder, and Roxann Taylor in honor of Richard E. Salomon",,1,,,1
Acquired through the generosity of Robert Harteveldt,,67,,,67
Acquired through the generosity of The Contemporary Arts Council of The Museum of Modern Art,2,,,,2
Acquired through the generosity of the Contemporary Arts Council of The Museum of Modern Art and the Committee on Prints and Illustrated Books Fund,1,,,,1
Acquired through the generosity of the Contemporary Arts Council of The Museum of Modern Art and the Friends of Contemporary Drawing,,1,,,1
Acquired through the generosity of the Friends of Contemporary Drawing,,5,,,5
Acquired through the generosity of The Friends of Education of The Museum of Modern Art and Committee on Photography Fund,,29,,,29
Acquired through the generosity of the Gordon Parks Foundation and Committee on Photography Fund,,2,,,2
Acquired through the generosity of The Junior Associates of The Museum of Modern Art,1,,,,1
Acquired through the generosity of The Kraus Family Foundation,,1,,,1
"Acquired through the generosity of the Latin American and Caribbean Fund, The Diane and Bruce Halle Foundation, Andrea and José Olympio da Veiga Pereira, and Alfredo Setubal",,1,,,1
Acquired through the generosity of the Sue and Edgar Wachenheim III Foundation,,1,,,1
Acquired through the generosity of Thomas and Susan Dunn,,3,,,3
Acquired through the generosity of Wendy Fisher,,1,,,1
"Acquired with support from The Modern Women's Fund and The Contemporary Arts Council of The Museum of Modern Art, through the generosity of Ahmet Kocabiyik and Jill and Peter Kraus, and with Committee on Media and Performance Art Funds
",1,,,,1
Agnes Rindge Claflin Fund,,2,,,2
Anonymous Gift,84,402,,,486
Anonymous gift in honor of Margarete Roeder,,1,,,1
Arthur M. Bullowa Fund,,5,,,5
Carl Jacobs Fund,1,4,,,5
Carol and David Appel Family Fund,7,,,,7
Committee on Architecture and Design Funds,,41,9,,50
Committee on Drawings and Prints Fund,2,5,,,7
Committee on Drawings Funds,2,9,,,11
Committee on Drawings Funds and The Modern Women's Fund,1,,,,1
Committee on Film Funds,,6,,,6
Committee on Media and Performance Art Funds,11,1,4,,16
Committee on Painting and Sculpture Funds,,1,,,1
Committee on Painting and Sculpture funds and gift of James Keith Brown and Eric Diefenbach and Jill and Peter Kraus,,1,,,1
Committee on Painting and Sculpture Funds and gift of The Friends of Education of The Museum of Modern Art,1,,,,1
"Committee on Painting and Sculpture Funds, and gift of Jerry I. Speyer and Katherine G. Farley",,1,,,1
Committee on Photography Fund,3,47,,,50
Committee on Photography Fund and Committee on Media and Performance Art Funds,,3,,,3
Committee on Prints and Illustrated Books Fund,1,33,3,,37
Contemporary Arts Council of The Museum of Modern Art,1,,,,1
Cornelius N. Bliss Memorial Fund,,2,,,2
"Courtesy Eon Productions, Barbara Broccoli and Michael G. Wilson",,1,,,1
David H. McAlpin Fund,,3,,,3
Deborah Wye Endowment Fund,,5,,,5
Elizabeth T. Hoard Bequest,,1,,,1
Fund for the Twenty-First Century,13,13,2,,28
Fund for the Twenty-First Century and Deborah Wye Endowment Fund,,1,,,1
General Print Fund,,3,,,3
Geraldine J. Murphy Fund,,1,,,1
Gift Harry A. George and Cita Scott,,1,,,1
Gift in honor of Marie-Josée and Henry Kravis,11,,,,11
Gift of Aaron Louis and Ido Mizrahy,,1,,,1
Gift of Abby Aldrich Rockefeller (by exchange),,3,,,3
"Gift of Abby Aldrich Rockefeller (by exchange), Committee on Prints and Illustrated Books Fund, The General Print Fund, The Sue and Edgar Wachenheim III Endowment, Dian Woodner, and Gift of Jake Milgram Wien",,6,,,6
Gift of Abby Aldrich Rockefeller (by exchange).  Acquired with the cooperation of the Estate of Nanette Bearden and the Romare Bearden Foundation whose mission is to preserve the legacy of the artist.,,1,,,1
Gift of Adam Kimmel,,2,,,2
Gift of agnès b.,,5,,,5
Gift of Agnes Gund,,2,,,2
"Gift of Alfred H. Barr, Jr., and gift of the Advisory Committee (both by exchange)",1,,,,1
"Gift of Alice M. Tisch, Andrea Woodner, and Dietrich Neumann",,1,1,,2
Gift of American Contemporary,,1,,,1
Gift of Amy Baker Sandback,,85,,,85
Gift of Anne and Arthur Goldstein,,4,,,4
Gift of anonymous,,,1,,1
Gift of Barbara Cantor,1,,,,1
Gift of Barbara Günschel,,8,,,8
Gift of Beth Swofford,,1,,,1
Gift of Bettina Beckhoff,,2,,,2
Gift of Buzzco Associates,4,,,,4
Gift of Carmen Pesqueira de Attolini,,49,,,49
Gift of Catherine Badomi Heckett,,3,,,3
Gift of Chanel,1,,,,1
Gift of CJ Entertainment,,10,,,10
Gift of Daniel Buchholz and Isa Genzken,1,,,,1
"Gift of Daniel, Consuelo and José Alejandro Bermúdez",,4,,,4
Gift of David C. Ruttenberg,,1,,,1
Gift of David Platzker and Susan Inglett,,1,,,1
Gift of Dian Woodner in honor of The Friends of Education of The Museum of Modern Art,1,,,,1
Gift of Dr. Mathias Boehringer,,7,,,7
Gift of Eduardo Hochschild through the Latin American and Caribbean Fund,,2,,,2
Gift of Exhibition A,,2,,,2
Gift of familia Serralta,,1,,,1
Gift of Focus Features,,2,,,2
"Gift of Foksal Gallery Foundation, Warsaw",,1,,,1
"Gift of Francis X. Claps, MD",1,,,,1
Gift of G. David Thompson and John Whyte (both by exchange),,1,,,1
Gift of Gwen and Peter Norton,,2,,,2
Gift of Helena Correa de Rigamonti,,,11,,11
Gift of Herman Sifontes through the Latin American and Caribbean Fund,,24,,,24
Gift of Howard Greenberg,,1,,,1
Gift of Jack and Connie Tilton,,1,,,1
Gift of Jan Christiaan Braun in honor of Candace King Weir,1,,,,1
Gift of Jan Staller,,,1,,1
Gift of Jennifer Gladstone Butler,1,,,,1
Gift of Joel and Anne Ehrenkranz,1,,,,1
Gift of Judith Hervé,,5,,,5
Gift of Karin Srb,,1,,,1
"Gift of Laurenz Foundation, jointly owned by Laurenz Foundation, Schaulager, Basel and The Museum of Modern Art, New York",,1,,,1
Gift of Lawrence Saphire in memory of Alvin Greenstein,,1,,,1
Gift of Lawrence Saphire in memory of Rita Simon,,1,,,1
Gift of Lila Harnett,,2,,,2
Gift of Lynn Hershman Leeson,2,1,,,3
Gift of Magali Ruz de Galia,,2,,,2
Gift of Marie-Josée and Henry R. Kravis in honor of Jerry I. Speyer and Katherine G. Farley,,1,,,1
Gift of Marie-Josée and Henry R. Kravis in honor of Martin Eisenberg,,1,,,1
Gift of Mario Roberto Álvarez y Asociados,,24,,,24
Gift of Marlene Hess and James D. Zirin,,1,,,1
Gift of Martin and Rebecca Eisenberg,3,7,,,10
Gift of Martin and Rebecca Eisenberg in honor of Matthew Higgs,1,,,,1
Gift of Marvin Hoshino,5,,,,5
Gift of Marvin Hoshino in memory of Freda Flier Maddow,1,,,,1
Gift of Mauro Herlitzka,,1,,,1
Gift of Mauro Herlitzka through the Latin American and Caribbean Fund,,7,,,7
Gift of MK2,,9,,,9
Gift of Mr. and Mrs. Werner E. Josten (by exchange),,1,,,1
Gift of Norman Dubrow,,3,,,3
Gift of Pablo and Cecilia León de la Barra Vargas,1,,,,1
Gift of Paramount Pictures,,1,,,1
Gift of Parasol Press (by exchange),,10,,,10
Gift of Patricia Phelps de Cisneros in honor of Diana Pulling through the Latin American and Caribbean Fund,,1,,,1
Gift of Patricia Phelps de Cisneros through the Latin American and Caribbean Fund,1,,,,1
Gift of Patricia Phelps de Cisneros through the Latin American and Caribbean Fund in honor of James Gara,,1,,,1
Gift of Patricia Phelps de Cisneros through the Latin American and Caribbean Fund in honor of Joaquim Bolt Guimarães,,1,,,1
Gift of Patricia Phelps de Cisneros through the Latin American and Caribbean Fund in honor of Patty Lipshutz,,1,,,1
Gift of Pedro Montes Lira through the Latin American and Caribbean Fund,,4,,,4
Gift of Peter Freeman,,13,,,13
Gift of Peter J. Cohen,,,1,,1
Gift of Petzel Gallery,,1,,,1
Gift of Philip E. Aarons and Shelley Fox Aarons,,1,,,1
Gift of Professor and Mrs. Nathan I. Huggins,,2,,,2
Gift of Rebecca and Martin Eisenberg in honor of Marie-Josée Kravis,,1,,,1
Gift of Sarah-Ann and Werner H. Kramarsky,,1,,,1
Gift of Simon Preston Gallery,1,,,,1
